601_C039	H3K27me1
601_C060	H3K27me1
601_C079	H3K27me1
601_C025	H3K27me1
601_C021	H3K27me1
601_C046	H3K27me1
601_C066	H3K27me1
601_C082	H3K27me1
601_C073	H3K79me3
601_C071	H3K79me3
601_C013	H3K79me3
601_C033	H3K79me3
601_C026	H3K79me3
601_C049	H3K79me3
601_C040	H3K79me3
601_C085	H3K79me3
601_C094	H3K4me3
601_C034	H3K4me3
601_C043	H3K4me3
601_C044	H3K4me3
601_C070	H3K4me3
601_C061	H3K4me3
601_C083	H3K4me3
601_C075	H3K4me3
601_C076	H3K9me3
601_C080	H3K9me3
601_C029	H3K9me3
601_C054	H3K9me3
601_C022	H3K9me3
601_C009	H3K9me3
601_C015	H3K9me3
601_C098	H3K9me3
601_C093	H3K27me3
601_C038	H3K27me3
601_C005	H3K27me3
601_C041	H3K27me3
601_C008	H3K27me3
601_C010	H3K27me3
601_C017	H3K27me3
601_C056	H3K27me3
601_C037	H3K36me3
601_C084	H3K36me3
601_C099	H3K36me3
601_C089	H3K36me3
601_C088	H3K36me3
601_C078	H3K36me3
601_C014	H3K36me3
601_C032	H3K36me3
601_C047	H3K27me2
601_C068	H3K27me2
601_C055	H3K27me2
601_C028	H3K27me2
601_C002	H3K27me2
601_C042	H3K27me2
601_C058	H3K27me2
601_C052	H3K27me2
601_C100	H3K79me2
601_C051	H3K79me2
601_C031	H3K79me2
601_C062	H3K79me2
601_C097	H3K79me2
601_C081	H3K79me2
601_C096	H3K79me2
601_C019	H3K79me2
601_C091	Unmodified
601_C086	Unmodified
601_C063	Unmodified
601_C077	Unmodified
601_C087	Unmodified
601_C092	Unmodified
601_C067	Unmodified
601_C090	Unmodified
C001_C008	H3K4me1
C001_C009	H3K4me1
C001_C014	H3K4me1
C001_C023	H3K4me1
C001_C037	H3K4me1
C001_C056	H3K4me1
C001_C089	H3K4me1
C001_C090	H3K4me1
C001_C010	H3K4me2
C001_C024	H3K4me2
C001_C048	H3K4me2
C001_C066	H3K4me2
C001_C071	H3K4me2
C001_C051	H3K4me2
C001_C052	H3K4me2
C001_C061	H3K4me2
C001_C019	H3K9me1
C001_C050	H3K9me1
C001_C072	H3K9me1
C001_C017	H3K9me1
C001_C082	H3K9me1
C001_C053	H3K9me1
C001_C022	H3K9me1
C001_C057	H3K9me1
C001_C036	H3K9me2
C001_C025	H3K9me2
C001_C073	H3K9me2
C001_C038	H3K9me2
C001_C085	H3K9me2
C001_C049	H3K9me2
C001_C006	H3K9me2
C001_C064	H3K9me2
C001_C081	H3K79me1
C001_C032	H3K79me1
C001_C070	H3K79me1
C001_C039	H3K79me1
C001_C011	H3K79me1
C001_C058	H3K79me1
C001_C034	H3K79me1
C001_C094	H3K79me1
C001_C015	H4K20me1
C001_C075	H4K20me1
C001_C079	H4K20me1
C001_C028	H4K20me1
C001_C018	H4K20me1
C001_C063	H4K20me1
C001_C035	H4K20me1
C001_C044	H4K20me1
C001_C043	H4K20me2
C001_C077	H4K20me2
C001_C055	H4K20me2
C001_C042	H4K20me2
C001_C092	H4K20me2
C001_C016	H4K20me2
C001_C030	H4K20me2
C001_C041	H4K20me2
C001_C074	H4K20me3
C001_C091	H4K20me3
C001_C065	H4K20me3
C001_C047	H4K20me3
C001_C093	H4K20me3
C001_C060	H4K20me3
C001_C029	H4K20me3
C001_C040	H4K20me3
